ID	sample-1_rpkm	sample-2_rpkm	sample-3_rpkm	sample-4_rpkm	sample-5_rpkm
Unigene0000001	5.07464126335754	3.65967655024692	4.37090140262987	4.23689766294512	4.76521923333948
Unigene0000002	7.00377946989847	4.37949493736209	3.57946752957751	3.19718115973222	4.33183528185768
Unigene0000003	2.95433780991951	3.60742854446692	5.72593566479634	2.73233857349223	2.14962859779678
Unigene0000004	3.28959230981215	2.93772783940761	3.36296499004462	3.44955344648225	1.29957807901574
Unigene0000005	3.95204253286851	2.53239785327979	5.10317454052024	4.71009273317834	5.12675629229887
Unigene0000006	4.90679600866197	2.30189868487512	5.36905664636551	4.26916425261679	2.21726405143625
Unigene0000007	4.71914546984166	4.56851560204304	2.21766106901944	3.33928455893864	4.11816829637077
Unigene0000008	3.96926092753878	6.26204034263758	5.27370113022373	4.8302624582721	5.66229655818989
Unigene0000009	4.65789635163245	4.32268272778304	3.52621670466322	3.87994008395729	5.09379058041353
Unigene0000010	3.76526368578098	4.47996530073925	4.41159224017356	3.16735203249803	3.11584209119471
Unigene0000011	6.79575060765457	3.19750131592458	4.78857389386603	3.06419232725581	4.84830115921298
Unigene0000012	3.50850847360708	5.31178026608289	1.85046210420055	4.05044349049574	4.40595301023434
Unigene0000013	4.87304716143081	2.97139942024736	3.29008309380472	3.72804083572394	1.86497394015437
Unigene0000014	4.31845402196923	4.31323647313746	4.16921275873416	6.66118333880922	3.65024593468326
Unigene0000015	3.81584912678906	4.02347255916292	3.59692740971033	4.90467761673691	2.13312898114306
Unigene0000016	3.3437559617079	6.27264559040335	4.84317652521846	3.38577027067971	4.35112315641955
Unigene0000017	2.75106709609233	4.52148622548928	5.40930710774733	2.66976765173019	4.02277847359333
Unigene0000018	3.17336153965549	4.66631064605839	5.63394392074509	5.29205096494035	4.67154278699984
Unigene0000019	4.77500567192411	3.61355077491813	3.62295217861051	4.1767110052506	3.37951710204286
Unigene0000020	3.83320949636668	2.58881380318288	4.21155025145158	3.57808275853181	3.19125483011592
Unigene0000021	4.06407941133503	3.58608783085652	3.77138420812704	3.26171483963692	3.71564157912169
Unigene0000022	4.61687841376488	3.7184614742623	5.02057766546277	3.15868944549176	4.61290692487122
Unigene0000023	3.5845785039419	3.38947089028163	4.65227654178789	4.99326297054427	2.72320622326993
Unigene0000024	5.13748895961533	3.67017274294808	3.39323702382779	2.82772993224768	3.77742186567954
Unigene0000025	5.30767742004122	6.41924920489668	3.55082289563499	4.84828519969808	3.27412448718055
Unigene0000026	6.65826636577331	4.99717722106942	4.5336102052922	5.53117480706061	3.71856247228169
Unigene0000027	4.50426741291438	3.95619258884123	4.38689149261198	4.32457070546047	2.57430767530553
Unigene0000028	4.8989156753968	3.69928542834928	5.13392702781291	3.27960183938758	5.37784649908474
Unigene0000029	3.51305993381291	3.22410002422523	3.95112073194646	5.33071409637758	4.23484656601892
Unigene0000030	3.85092666579276	3.11352019270547	3.67719501279728	4.94531597168622	4.36665410624599
Unigene0000031	3.25736534141342	4.00980724857284	2.95990304607378	3.07787675744065	1.98922387136903
Unigene0000032	5.06391375815016	4.97434145068833	2.74531131747496	4.52409395647028	5.77491502751068
Unigene0000033	3.400204706021	3.50260013421737	3.53754900428936	4.00651838781441	3.63912110382693
Unigene0000034	6.63445976648049	3.91161330059227	1.99036903905089	4.58624207236808	3.91963792741831
Unigene0000035	3.05557972085996	2.58317390776414	5.28048458791779	3.60304181469169	2.33232129993598
Unigene0000036	3.39083234829859	4.63116015725248	5.74036853768023	3.96741805685854	3.85799650818117
Unigene0000037	5.42370666687478	2.6798090492955	3.4718115816911	2.28050226830783	4.87016506652784
